"1","Aalkistensee","0,136","KA","PF","48.993611,8.761111","BW","0"
"2","Altshauser Weiher ","0,103","TÜ","RV","47.936389,9.529444","BW","0"
"3","Andelshofer Weiher ","0,322","TÜ","FN","47.786667,9.177778","BW","0"
"4","Argensee","0,267","TÜ","RV","47.776111,9.927222","BW","0"
"5","Badsee","0,425","TÜ","RV","47.417222,9.999722","BW","0"
"6","Bodensee","536","FR","FN","47.63333,9.3666","BW","0"
"7","Breitenauer See","0,47","S","HN","49.124444,9.386944","BW","0"
"8","Degersee","0,302","TÜ","FN","47.6125,9.65","BW","0"
"9","Eggbergbecken","0,12","FR","WT","47.580926,7.959681","BW","0"
"10","Ehmetsklinge","0,138","S","HN","49.056389,8.913056","BW","0"
"11","Ellerazhofer Weiher ","0,46","TÜ","RV","47.818396,9.9566","BW","0"
"12","Federsee","1,39","TÜ","BC","48.083333,9.616667","BW","0"
"13","Flückigersee","0,1 ","FR","FR","48.010556,7.817778","BW","0"
"14","Goldkanal","1,34","KA","RA","48.920556,8.178333","BW","2"
"15","Großer Ursee","0,194","TÜ","RV","47.968889,10.024167","BW","0"
"16","Großweiher","0,114 ","TÜ","RV","47.720996,9.82572","BW","0"
"17","Guggenhauser Weiher ","0,101","TÜ","RV","47.89488,9.459029","BW","0"
"18","Häcklerweiher","0,135","TÜ","RV","47.876305,9.577088","BW","0"
"19","Hochwasserrückhaltebecken Buch","0,28","S","AA","48.909444,10.153333","BW","0"
"20","Hochwasserrückhaltebecken Lorch-Waldhausen","0,37","S","AA","48.795,9.661111","BW","0"
"21","Hochwasserrückhaltebecken Rappenbach","0,4","TÜ","BC","47.959444,10.058333","BW","0"
"22","Hochwasserrückhaltebecken Rehnenmühle","0,565","S","AA","48.862778,9.808889","BW","0"
"23","Hochwasserrückhaltebecken Reichenbach","0,176","S","AA","48.873333,9.752222","BW","0"
"24","Hochwasserrückhaltebecken Schorndorf-Winterbach","0,62","S","WN","48.8058,9.4898","BW","0"
"25","Holzmühleweiher","0,238","TÜ","RV","48.8058,9.4898","BW","0"
"26","Hornbergbecken","0,17","FR","WT","47.659028,7.96111","BW","0"
"27","Illmensee","0,64263","TÜ","SIG","47.855278,9.380278","BW","0"
"28","Kirnbergsee","0,35","FR","VS","47.92778,8.36943","BW","0"
"29","Königseggsee","0,156","TÜ","RV","47.931962,9.447834","BW","0"
"30","Lausheimer Weiher","0,101","TÜ","SIG","47.97,9.311944","BW","0"
"31","Linachtalsperre","0,11","FR","VS","48.017334,8.290555","BW","0"
"32","Max-Eyth-See","0,173","S","S","48.8353,9.219","BW","0"
"33","Mettmabecken","0,2","FR","WT","47.720889,8.24833","BW","0"
"34","Metzisweiler Weiher","0,268","TÜ","RV","47.838925,9.826138","BW","0"
"35","Mindelsee","1,02","FR","KN","47.754444,9.022222","BW","0"
"36","Nagoldtalsperre","0,376","FR","FDS","48.58056,8.49361","BW","0"
"37","Nonnenmattweiher","0,78","FR","LÖ","47.794722,7.799167","BW","0"
"38","Oberer Schlossweiher","0,112","TÜ","RV","47.710286,9.902758","BW","0"
"39","Obersee","0,253","TÜ","RV","47.798889,9.88","BW","0"
"40","Olzreuter See","0,14","TÜ","BC","48.0125,9.680278","BW","0"
"41","Röhmsee","0,13","S","ES","48.6474203, 9.3706219","BW","0"
"42","Rohrsee","0,551","TÜ","RV","47.874167,9.836944","BW","0"
"43","Rösslerweiher","0,2","TÜ","RV","47.801523,9.680701","BW","0"
"44","Roter Weiher","0,104","TÜ","BC","48.041454,10.000097","BW","0"
"45","Ruschweiler See ","0,22124","TÜ","SIG","47.87,9.365833","BW","0"
"46","Schleinsee","0,141","TÜ","FN","47.612222,9.634167","BW","0"
"47","Schlosssee","0,18","TÜ","FN","47.771944,9.293333","BW","0"
"48","Schluchsee","5,14","FR","FR","47.821389,8.152778","BW","1"
"49","Schreckensee","0,32","TÜ","RV","47.889167,9.564444","BW","0"
"50","Schwaigfurter Weiher","0,138","TÜ","BC","47.814167,9.665","BW","0"
"51","Schwarzatalsperre","0,2","FR","WT","47.753889,8.190556","BW","0"
"52","Schwarzenbachtalsperre","0,66","KA","RA","48.654722,8.329444","BW","0"
"53","Stadtsee","0,147","TÜ","RV","47.922747,9.756386","BW","0"
"54","Stadtweiher","0,176","TÜ","RV","47.826184,10.040649","BW","0"
"55","Stausee Dettingen","0,52","TÜ","BC","48.105,10.136944","BW","0"
"56","Stausee Tannheim","0,165","TÜ","BC","48.006111,10.113889","BW","0"
"57","Steidlesee","0,248","TÜ","SIG","48.03568,9.254651","BW","0"
"58","Steingrundsee","0,705742","FR","OG","48.691389,7.935278","BW","0"
"59","Talsperre Kleine Kinzig","0,62","KA","FDS","48.398889,8.365556","BW","0"
"60","Titisee","1,07","FR","FR","47.893333,8.146111","BW","0"
"61","Wehratalsperre","0,25","FR","WT","47.649444,7.921667","BW","0"
"62","Windgfällweiher","0,1081","FR","FR","47.851944,8.125833","BW","0"
"63","Witznautalsperre","0,14","FR","WT","47.688333,8.251389","BW","0"
"64","Wuhrmühleweiher","0,277","TÜ","RV","47.766431,9.917344","BW","0"
"65","Zellersee","0,102","TÜ","RV","47.78556,9.87722","BW","0"
"66","Abtsdorfer See","0,84","Oberbayern","Berchtesgadener Land","47.910556,12.907778","BY","0"
"67","Aindlinger Baggersee","0,09","Schwaben","Aichach-Friedberg","48.517883,10.8831","BY","0"
"68","Alatsee","0,12","Schwaben","Ostallgäu","47.560833,10.639444","BY","0"
"69","Alpsee","0,88","Schwaben","Ostallgäu","47.551111,10.723611","BY","1"
"70","Altmühlsee","4,5","Mittelfranken","Weißenburg-Gunzenhausen","49.133037,10.72463","BY","1"
"71","Ameissee","0,04","Oberbayern","Weilheim-Schongau","47.79804,11.2989","BY","0"
"72","Ammersee","46,6","Oberbayern","Landsberg am Lech","48,11.116667","BY","0"
"73","Ampersee","0,09","Oberbayern","Fürstenfeldbruck","48.230734,11.357031","BY","0"
"74","Auensee","0,18","Schwaben","Aichach-Friedberg","48.312086,10.951589","BY","0"
"75","Aufhofener Weiher","0,02","Oberbayern","Bad Tölz-Wolfratshausen","47.93921,11.52462","BY","0"
"76","Autobahnsee","0,17","Schwaben","Augsburg","48.410103,10.927878","BY","0"
"77","Azwaldsee","0,5","Oberbayern","Ingolstadt","48.75112,11.4687","BY","0"
"78","Bachtelsee","0,34","Schwaben","Ostallgäu","47.84317,10.64992","BY","0"
"79","Bachtelweiher","0,05","Schwaben","Kempten","47.72,10.348","BY","0"
"80","Badenburger See","0,06","Oberbayern","München","48.15526,11.4911","BY","0"
"81","Badersee","0,01","Oberbayern","Garmisch-Partenkirchen","47.47324,11.01654","BY","0"
"82","Bärensee","0,54","Schwaben","Kaufbeuren","47.85769,10.64275","BY","0"
"83","Bärnsee","0,07","Oberbayern","Rosenheim","47.79733,12.33715","BY","0"
"84","Baggersee","0,5","Oberbayern","Ingolstadt","48.7503,11.39626","BY","0"
"85","Baggersee Irsingen","0,15","Schwaben","Unterallgäu","48.03109,10.62372","BY","0"
"86","Baggersee Rammingen","0,04","Schwaben","Unterallgäu","48.06576,10.60479","BY","0"
"87","Baggersee Salgen","0,16","Schwaben","Unterallgäu","48.14129,10.48844","BY","0"
"88","Baggersee westlich von Türkheim","0,04","Schwaben","Unterallgäu","48.05523,10.61664","BY","0"
"89","Baggersee Wiedergeltingen","0,01","Schwaben","Unterallgäu","48.04763,10.68993","BY","0"
"90","Baggersee am Hart","0,02","Oberbayern","Freising","48.29077,11.64654","BY","0"
"91","Bannwaldsee","2,28","Schwaben","Ostallgäu","47.60063,10.77455","BY","0"
"92","Barmsee","0,55","Oberbayern","Garmisch-Partenkirchen","47.49901,11.24612","BY","0"
"93","Bayersoiener See","0,23","Oberbayern","Garmisch-Partenkirchen","47.69076,11.00564","BY","0"
"94","Bechthaler Weiher","0,01","Mittelfranken","Weißenburg-Gunzenhausen","49.02186,11.17771","BY","0"
"95","Beckenweiher Wiesenfelden","0,1","Niederbayern","Straubing-Bogen","49.03972,12.53602","BY","0"
"96","Bibisee","0,16","Oberbayern","Bad Tölz-Wolfratshausen","47.83451,11.47316","BY","0"
"97","Bichlersee","0,01","Oberbayern","Rosenheim","47.67616,12.12211","BY","0"
"98","Biengartner Weiherplatte","0","Mittelfranken","Erlangen-Höchstadt","49.66068,10.84003","BY","0"
"99","Bingstetter See","0,2","Schwaben","Ostallgäu","47.98805,10.64858","BY","0"
"100","Birkensee","0,02","Niederbayern","Dingolfing-Landau","48.63508,12.45732","BY","0"
"101","Birkensee Langwieder Seenplatte","0,03","Oberbayern","Dachau","48.20384,11.41706","BY","0"
"102","Birkensee","0,02","Oberbayern","Bad Tölz-Wolfratshausen","47.86889,11.42552","BY","0"
"103","Birkensee","0,05","Mittelfranken","Nürnberger Land","49.456667,11.258333","BY","0"
"104","Blaibacher See","0,47","Oberpfalz","Cham","49.14957,12.83473","BY","0"
"105","Bockstallsee","0,02","Schwaben","Ostallgäu","47.57361,10.83688","BY","0"
"106","Bodensee","536","Bayern","Baden-Württemberg","47.52277,9.70093","BY","0"
"107","Böcklweiher","0,01","Oberbayern","Berchtesgadener Land","47.63464,12.96394","BY","0"
"108","Böhmerweiher","0,06","Oberbayern","München","48.17417,11.37484","BY","0"
"109","Bräuhaussee","0,05","Oberbayern","Weilheim-Schongau","47.78236,11.3187","BY","0"
"110","Brückelsee","1,45","Oberpfalz","Schwandorf","49.33961,12.22392","BY","0"
"111","Brückenhaussee","0,06","Oberfranken","Bamberg","49.97435,10.85943","BY","0"
"112","Brückensee","0,02","Oberbayern","Weilheim-Schongau","47.77575,11.30523","BY","0"
"113","Buchner Weiher","0,01","Oberbayern","Bad Tölz-Wolfratshausen","47.77688,11.48396","BY","0"
"114","Buchsee","0,02","Oberbayern","Bad Tölz-Wolfratshausen","47.92207,11.37541","BY","0"
"115","Buxheimer Weiher","0,07","Schwaben","Unterallgäu","47.99144,10.13424","BY","0"
"116","Chiemsee","79,9","Oberbayern","Traunstein","47.8709,12.45374","BY","0"
"117","Christlessee","0,01","Schwaben","Oberallgäu","47.36474,10.30141","BY","0"
"118","Craimoosweiher","0,15","Oberfranken","Bayreuth","49.82235,11.59476","BY","0"
"119","Dachssee","0,02","Schwaben","Ostallgäu","47.81172,10.70561","BY","0"
"120","Degerndorfer Weiher","0,01","Oberbayern","Bad Tölz-Wolfratshausen","47.877009,11.379261","BY","0"
"121","Deininger Weiher","0,03","Oberbayern","München","47.96602,11.52371","BY","0"
"122","Deixlfurter See","0,21","Oberbayern","Starnberg","47.91965,11.25416","BY","0"
"123","Dennenloher See","0,2","Mittelfranken","Ansbach","49.10513,10.61571","BY","0"
"124","Derchinger Baggersee","0,06","Schwaben","Aichach-Friedberg","48.41445,10.95835","BY","0"
"125","Deutensee","0,42","Oberbayern","Weilheim-Schongau","47.74035,10.87047","BY","0"
"126","Dietlhofer See","0,09","Oberbayern","Weilheim-Schongau","47.85584,11.15964","BY","0"
"127","Drachensee","1,58","Oberpfalz","Cham","49.31354,12.87074","BY","0"
"128","Dreiburgensee","0,08","Niederbayern","Passau","48.74418,13.35253","BY","0"
"129","Dutzendteich","0,31","Mittelfranken","Nürnberg","49.43185,11.11791","BY","0"
"130","Echinger See","0,13","Oberbayern","Freising","48.288447,11.634714","BY","0"
"131","Echinger Stausee","1,12","Niederbayern","Landshut","48.5033,12.04501","BY","0"
"132","Egelsee","0,01","Oberbayern","Starnberg","47.99619,11.19382","BY","0"
"133","Egglburger See","0,33","Oberbayern","Ebersberg","48.08399,11.93982","BY","0"
"134","Eggstätt-Hemhofer Seenplatte","3,5","Oberbayern","Rosenheim","47.9137,12.34468","BY","0"
"135","Eginger See","0,2","Niederbayern","Passau","48.72153,13.27614","BY","0"
"136","Eibsee","1,77","Oberbayern","Garmisch-Partenkirchen","47.45549,10.97328","BY","0"
"137","Eichenauer See","0,01","Oberbayern","Fürstenfeldbruck","48.15587,11.31217","BY","0"
"138","Eichinger See","0,02","Oberbayern","Dachau","48.22334,11.46107","BY","0"
"139","Eichsee","0,05","Oberbayern","Garmisch-Partenkirchen","47.68059,11.33214","BY","0"
"140","Einbessee","0,06","Oberbayern","Rosenheim","47.91921,12.35921","BY","0"
"141","Eishaussee","0,08","Oberbayern","Weilheim-Schongau","47.78423,11.31703","BY","0"
"142","Eisweiher","0,03","Mittelfranken","Nürnberg","49.426,11.175","BY","0"
"143","Eitzenberger Weiher","0,1","Oberbayern","Weilheim-Schongau","47.7864,11.36514","BY","0"
"144","Eixendorftalsperre","1,01","Oberpfalz","Schwandorf","49.33989,12.4439","BY","0"
"145","Elbsee","0,21","Schwaben","Ostallgäu","47.80036,10.55293","BY","0"
"146","Ellertshäuser See","0,33","Unterfranken","Schweinfurt","50.14877,10.37762","BY","0"
"147","Emmeringer See","0,03","Oberbayern","Fürstenfeldbruck","48.19218,11.28347","BY","0"
"148","Engelsrieder See","0,07","Oberbayern","Landsberg am Lech","47.8874,10.97835","BY","0"
"149","Engeratsgundsee","0,03","Schwaben","Oberallgäu","47.4413,10.39156","BY","0"
"150","Entenweiher","0,01","Oberbayern","München","48.11564,11.56341","BY","0"
"151","Erlabrunner Badesee","0,07","Unterfranken","Würzburg","49.85264,9.85458","BY","0"
"152","Erlauzwieseler See","0,08","Niederbayern","Freyung-Grafenau","48.72053,13.63901","BY","0"
"153","Erlensee","0,05","Oberbayern","Rosenheim","47.92355,12.13521","BY","0"
"154","Erlensee","0,02","Oberbayern","Erding","48.32172,12.24381","BY","0"
"155","Eschacher Weiher","0,09","Schwaben","Oberallgäu","47.69503,10.19128","BY","0"
"156","Eschenauer See","0,18","Oberbayern","Traunstein","47.945,12.398","BY","0"
"157","Eßsee","0,08","Oberbayern","Starnberg","47.96981,11.23393","BY","0"
"158","Falkensee","0,01","Oberbayern","Traunstein","47.74851,12.76617","BY","0"
"159","Fasaneriesee","0,15","Oberbayern","München","48.20463,11.52977","BY","0"
"160","Faulensee","0,02","Schwaben","Ostallgäu","47.62255,10.69704","BY","0"
"161","Feisnitz-Stausee","0,2","Oberfranken","Wunsiedel im Fichtelgebirge","50.03413,12.18062","BY","0"
"162","Feldmochinger See","0,2","Oberbayern","München","48.21441,11.51509","BY","0"
"163","Ferchensee","0,1","Oberbayern","Garmisch-Partenkirchen","47.43861,11.21362","BY","0"
"164","Feringasee","0,32","Oberbayern","München","48.19522,11.67147","BY","0"
"165","Fichtelsee","0,11","Oberfranken","Bayreuth","50.01451,11.86004","BY","0"
"166","Fichtsee","0,01","Oberbayern","Weilheim-Schongau","47.71282,11.3613","BY","0"
"167","Fischkaltersee","0,03","Oberbayern","Weilheim-Schongau","47.78133,11.32237","BY","0"
"168","Floriansee","0,08","Oberbayern","Rosenheim","47.83502,12.14646","BY","0"
"169","Fohnsee","0,21","Oberbayern","Weilheim-Schongau","47.78008,11.31377","BY","0"
"170","Förchensee","0,03","Oberbayern","Rosenheim","47.82741,12.39225","BY","0"
"171","Förchensee","0,04","Oberbayern","Traunstein","47.70791,12.62007","BY","0"
"172","Forggensee","15,2","Schwaben","Ostallgäu","47.61473,10.73982","BY","0"
"173","Förmitztalsperre","1,16","Oberfranken","Hof","50.19624,11.91124","BY","0"
"174","Forsterweiher","0,03","Oberbayern","Ingolstadt","48.753694,11.376002","BY","0"
"175","Frankenhofner See","0,45","Schwaben","Unterallgäu","47.97504,10.64116","BY","0"
"176","Frechensee","0,12","Oberbayern","Weilheim-Schongau","47.80901,11.28725","BY","0"
"177","Freibergsee","0,18","Schwaben","Oberallgäu","47.38121,10.26724","BY","0"
"178","Freigerichtsseen (Ostsee)","0,3","Unterfranken","Aschaffenburg","50.08545,9.00631","BY","0"
"179","Freigerichtsseen (Westsee)","0,2","Unterfranken","Aschaffenburg","50.08435,8.99983","BY","0"
"180","Freudensee","0,07","Niederbayern","Passau","48.66319,13.63506","BY","0"
"181","Frickenhäuser See","0,01","Unterfranken","Rhön-Grabfeld","50.40304,10.23697","BY","0"
"182","Fridolfinger See","0,06","Oberbayern","Traunstein","47.99426,12.84366","BY","0"
"183","Friedberger Baggersee","0,18","Schwaben","Aichach-Friedberg","48.36312,10.96333","BY","0"
"184","Frillensee","0,01","Oberbayern","Garmisch-Partenkirchen","47.45405,10.9849","BY","0"
"185","Frillensee","0,04","Oberbayern","Traunstein","47.76631,12.8168","BY","0"
"186","Froschgrundsee","0,23","Oberfranken","Coburg","50.35101,11.02718","BY","0"
"187","Froschhauser See","0,16","Oberbayern","Garmisch-Partenkirchen","47.68664,11.22519","BY","0"
"188","Fuggerweiher","0,04","Schwaben","Unterallgäu","48.13378,10.24158","BY","0"
"189","Funtensee","0,03","Oberbayern","Berchtesgadener Land","47.4934,12.93991","BY","0"
"190","Gallaweiher","0,14","Oberbayern","Weilheim-Schongau","47.86483,11.25373","BY","0"
"191","Garchinger See","0,05","Oberbayern","München","48.26106,11.63877","BY","0"
"192","Gartensee","0,07","Oberbayern","Weilheim-Schongau","47.81701,11.3016","BY","0"
"193","Germeringer See","0,03","Oberbayern","Fürstenfeldbruck","48.13705,11.34407","BY","0"
"194","Goldbergsee Coburg","0,72","Oberfranken","Coburg","50.28089,10.93457","BY","0"
"195","Griessee","0,09","Oberbayern","Traunstein","47.9863,12.4436","BY","0"
"196","Gröbensee","0,06","Oberbayern","Weilheim-Schongau","47.81214,11.3","BY","0"
"197","Großer Alpsee","2,47","Schwaben","Oberallgäu","47.57189,10.18295","BY","0"
"198","Großer Arbersee","0,08","Niederbayern","Regen","49.09866,13.15553","BY","0"
"199","Großer Bischofsweiher (Dechsendorfer Weiher)","0,35","Mittelfranken","Erlangen","49.63248,10.95204","BY","0"
"200","Großer Brombachsee","8,7","Mittelfranken","Weißenburg-Gunzenhausen","49.130847,10.935173","BY","0"
"201","Großer Ostersee","1,17","Oberbayern","Weilheim-Schongau","47.78768,11.30267","BY","0"
"202","Großwelzheimer Badesee","0,13","Unterfranken","Aschaffenburg","50.05826,9.01742","BY","0"
"203","Grünsee","0,02","Oberbayern","Miesbach","47.651944,11.866389","BY","0"
"204","Grünsee","0,04","Oberbayern","Berchtesgadener Land","47.50228,12.95337","BY","0"
"205","Grüntensee","1,23","Schwaben","Oberallgäu","47.61843,10.44954","BY","0"
"206","Guggenberger See","0,54","Oberpfalz","Regensburg","48.97858,12.2204","BY","0"
"207","Guggersee","0,01","Schwaben","Oberallgäu","47.31697,10.24917","BY","0"
"208","Gustavsee","0,25","Unterfranken","Aschaffenburg","50.05476,8.99091","BY","0"
"209","Haarsee","0,06","Oberbayern","Weilheim-Schongau","47.81062,11.22142","BY","0"
"210","Haagsweiher","0,01","Mittelfranken","Nürnberger Land","49.3807,11.22918","BY","0"
"211","Hackensee","0,08","Oberbayern","Miesbach","47.84907,11.6419","BY","0"
"212","Hahnenkammsee","0,23","Mittelfranken","Weißenburg-Gunzenhausen","48.963889,10.720278","BY","0"
"213","Hapberger Weiher","0,01","Oberbayern","Weilheim-Schongau","47.84662,11.26084","BY","0"
"214","Happinger See","0,23","Oberbayern","Rosenheim","47.81661,12.12852","BY","0"
"215","Happinger-Au-See","0,12","Oberbayern","Rosenheim","47.82994,12.141136","BY","0"
"216","Happurger See","0,55","Mittelfranken","Nürnberger Land","49.4825,11.480556","BY","0"
"217","Harmatinger Weiher","0,15","Oberbayern","Bad Tölz-Wolfratshausen","47.88609,11.53017","BY","0"
"218","Hartsee","0,87","Oberbayern","Rosenheim","47.92682,12.36714","BY","0"
"219","Haslacher See","0,40","Oberbayern","Weilheim-Schongau","47.75025,10.78532","BY","0"
"220","Hausler See","0,01","Oberbayern","Freising","48.29062,11.7221","BY","0"
"221","Hegratsrieder See","0,1","Schwaben","Ostallgäu","47.61655,10.76626","BY","0"
"222","Heiligenwaldsee","0,14","Mittelfranken","Weißenburg-Gunzenhausen","49.12141,10.98839","BY","0"
"223","Heimstettener See","0,11","Oberbayern","München","48.15544,11.73876","BY","0"
"224","Herrensee","0,03","Oberbayern","Weilheim-Schongau","47.78303,11.3231","BY","0"
"225","Herrenwieser Weiher","0,06","Schwaben","Kempten","47.71566,10.25317","BY","0"
"226","Hinterbrühler See","0,03","Oberbayern","München","48.08578,11.54273","BY","0"
"227","Hintersee","0,16","Oberbayern","Berchtesgadener Land","47.60709,12.85435","BY","0"
"228","Hochstraßer See","0,18","Oberbayern","Rosenheim","47.81027,12.13268","BY","0"
"229","Hochwasserspeicher Liebenstein","0,88","Oberpfalz","Tirschenreuth","49.8101,12.33413","BY","0"
"230","Hödenauer See","0,04","Oberbayern","Rosenheim","47.62769,12.19122","BY","0"
"231","Höglwörther See","0,14","Oberbayern","Berchtesgadener Land","47.81588,12.84263","BY","0"
"232","Höllensteinsee","0,54","Niederbayern","Regen","49.12534,12.86829","BY","0"
"233","Höllsee","0,01","Oberbayern","Bad Tölz-Wolfratshausen","47.69142,11.35793","BY","0"
"234","Hörsteiner See","0,59","Unterfranken","Aschaffenburg","50.05826,9.03356","BY","0"
"235","Hofstätter See","0,58","Oberbayern","Rosenheim","47.90179,12.17525","BY","0"
"236","Hopfensee","1,94","Schwaben","Ostallgäu","47.60033,10.67226","BY","0"
"237","Hubersee","0,01","Oberbayern","Rosenheim","47.79204,12.04213","BY","0"
"238","Hubersee","0,09","Oberbayern","Weilheim-Schongau","47.76373,11.35089","BY","0"
"239","Hütsee","0,06","Oberfranken","Bamberg","49.94755,10.87488","BY","0"
"240","Huttlerweiher","0,05","Schwaben","Ostallgäu","47.66929,10.73206","BY","0"
"241","Ickinger Weiher","0,12","Oberbayern","Bad Tölz-Wolfratshausen","47.94901,11.45303","BY","0"
"242","Igelsbachsee","0,9","Mittelfranken","Weißenburg-Gunzenhausen","49.14988,10.89526","BY","0"
"243","Ilsesee","0,1","Schwaben","Augsburg","48.28302,10.90155","BY","0"
"244","Ingstetter Weiher","0,03","Schwaben","Neu-Ulm","48.25908,10.27548","BY","0"
"245","Irsingener See","0,29","Schwaben","Unterallgäu","48.02151,10.65305","BY","0"
"246","Isarstausee Tölz","0,24","Oberbayern","Bad Tölz-Wolfratshausen","47.76904,11.54088","BY","0"
"247","Ismaninger Speichersee","5,8","Oberbayern","Ebersberg","48.21701,11.74713","BY","0"
"248","Jägersee","0,04","Mittelfranken","Roth","49.37222,11.19267","BY","0"
